urlOriginale,redirectPrevisto
https://www.coinsieme.it/articoli/15-milioni-di-euro-per-la-digitalizzazione-del-terzo-settore,/articoli/15-milioni-di-euro-per-la-digitalizzazione-del-terzo-settore/index.html
https://www.coinsieme.it/articoli/50-anni-da-basaglia-e-dalla-prima-cooperative-di-integrazione-sociale,/articoli/50-anni-da-basaglia-e-dalla-prima-cooperative-di-integrazione-sociale/index.html
https://www.coinsieme.it/articoli/50-anni-fa-le-prime-esperienze-di-integrazione-lavorativa-autogestita,/articoli/50-anni-fa-le-prime-esperienze-di-integrazione-lavorativa-autogestita/index.html
https://www.coinsieme.it/articoli/accessibilit%C3%A0-digitale-dal-28-giugno-%C3%A8-legge-in-tutta-europa-ecco-cosa-cambia-per-aziende-e-cittadini,/articoli/accessibilita-digitale-dal-28-giugno-e-legge-in-tutta-europa-ecco-cosa-cambia-per-aziende-e-cittadini/index.html
https://www.coinsieme.it/articoli/agricoltura-capodarco-vince-la-sua-battaglia-per-la-sede,/articoli/agricoltura-capodarco-vince-la-sua-battaglia-per-la-sede/index.html
https://www.coinsieme.it/articoli/anac-nelle-gare-non-ci-possono-essere-discriminazioni-fra-regioni-per-la-selezione-di-coop-sociali,/articoli/anac-nelle-gare-non-ci-possono-essere-discriminazioni-fra-regioni-per-la-selezione-di-coop-sociali/index.html
https://www.coinsieme.it/articoli/appalti-nuove-regole-per-individuare-i-ccnl,/articoli/appalti-nuove-regole-per-individuare-i-ccnl/index.html
https://www.coinsieme.it/articoli/assegno-ordinario-di-invalidit%C3%A0-e-lavoro-dipendente-decurtazioni-e-adempimenti,/articoli/assegno-ordinario-di-invalidita-e-lavoro-dipendente-decurtazioni-e-adempimenti/index.html
https://www.coinsieme.it/articoli/banca-d-italia-la-poverta-che-avanza-un-brutto-segnale-per-il-paese,/articoli/banca-d-italia-la-poverta-che-avanza-un-brutto-segnale-per-il-paese/index.html
https://www.coinsieme.it/articoli/bando-digitale-sociale,/articoli/bando-digitale-sociale/index.html
https://www.coinsieme.it/articoli/bonus-assunzione-disabili-per-gli-ets,/articoli/bonus-assunzione-disabili-per-gli-ets/index.html
https://www.coinsieme.it/articoli/congedo-straordinario-per-caregiver-una-guida-pratica,/articoli/congedo-straordinario-per-caregiver-una-guida-pratica/index.html
https://www.coinsieme.it/articoli/cooperazione-sociale-e-lavoro-per-i-pi%C3%B9-fragili-una-sfida-vera-o-solo-retorica-istituzionale,/articoli/cooperazione-sociale-e-lavoro-per-i-piu-fragili-una-sfida-vera-o-solo-retorica-istituzionale/index.html
https://www.coinsieme.it/articoli/dal-2027-cambiano-le-regole-per-l-invalidit%C3%A0-civile-e-la-legge-104-copy,/articoli/dal-2027-cambiano-le-regole-per-l-invalidita-civile-e-la-legge-104-copy/index.html
https://www.coinsieme.it/articoli/dal-2027-cambiano-le-regole-per-l-invalidit%C3%A0-civile-e-la-legge-104,/articoli/dal-2027-cambiano-le-regole-per-l-invalidita-civile-e-la-legge-104/index.html
https://www.coinsieme.it/articoli/dal-7-novembre-associazione-coin-onlus-diventa-fondazione-coinsieme-un-nuovo-inizio-per-obiettivi-sociali-rinnovati,/articoli/dal-7-novembre-associazione-coin-onlus-diventa-fondazione-coinsieme-un-nuovo-inizio-per-obiettivi-sociali-rinnovati/index.html
https://www.coinsieme.it/articoli/dall-esperienza-di-turismo-per-tutti-al-premio-per-i-migliori-aeroporti-accessibili-di-fiumicino-e-ciampino,/articoli/dall-esperienza-di-turismo-per-tutti-al-premio-per-i-migliori-aeroporti-accessibili-di-fiumicino-e-ciampino/index.html
https://www.coinsieme.it/articoli/dalla-lotta-armata-alla-lotta-per-gli-ultimi,/articoli/dalla-lotta-armata-alla-lotta-per-gli-ultimi/index.html
https://www.coinsieme.it/articoli/diritti-e-benefici-2023-per-le-persone-disabili,/articoli/diritti-e-benefici-2023-per-le-persone-disabili/index.html
https://www.coinsieme.it/articoli/disability-card-a-cosa-serve-e-come-ottenerla,/articoli/disability-card-a-cosa-serve-e-come-ottenerla/index.html
https://www.coinsieme.it/articoli/e-ufficiale-il-nuovo-contratto-delle-cooperative-sociali,/articoli/e-ufficiale-il-nuovo-contratto-delle-cooperative-sociali/index.html
https://www.coinsieme.it/articoli/energia-pulita-inclusione-reale-a-grottaferrata-prende-vita-il-primo-fotovoltaico-sociale,/articoli/energia-pulita-inclusione-reale-a-grottaferrata-prende-vita-il-primo-fotovoltaico-sociale/index.html
https://www.coinsieme.it/articoli/esplorare-nuovi-orizzonti-nel-turismo-per-tutti,/articoli/esplorare-nuovi-orizzonti-nel-turismo-per-tutti/index.html
https://www.coinsieme.it/articoli/finanziamenti-per-start-up-innovative,/articoli/finanziamenti-per-start-up-innovative/index.html
https://www.coinsieme.it/articoli/finanziamento-inail-per-la-formazione-dei-disabili,/articoli/finanziamento-inail-per-la-formazione-dei-disabili/index.html
https://www.coinsieme.it/articoli/fondazione-coinsieme-ets-innovazione-sociale-inclusione-e-tecnologia-al-servizio-delle-persone,/articoli/fondazione-coinsieme-ets-innovazione-sociale-inclusione-e-tecnologia-al-servizio-delle-persone/index.html
https://www.coinsieme.it/articoli/fondi-privati-per-l-agricoltura-sociale,/articoli/fondi-privati-per-l-agricoltura-sociale/index.html
https://www.coinsieme.it/articoli/giornata-internazionale-della-disabilit%C3%A0-uno-sguardo-alle-politiche-di-inclusione-e-sostegno-in-italia,/articoli/giornata-internazionale-della-disabilita-uno-sguardo-alle-politiche-di-inclusione-e-sostegno-in-italia/index.html
https://www.coinsieme.it/articoli/gli-occhiali-innovativi-che-ti-fanno-sentire-meglio,/articoli/gli-occhiali-innovativi-che-ti-fanno-sentire-meglio/index.html
https://www.coinsieme.it/articoli/gradualit%C3%A0-nell-applicazione-del-ccnl-uno-strumento-di-tutela-e-sostenibilit%C3%A0-per-le-cooperative-sociali,/articoli/gradualita-nell-applicazione-del-ccnl-uno-strumento-di-tutela-e-sostenibilita-per-le-cooperative-sociali/index.html
https://www.coinsieme.it/articoli/il-boom-dell-economia-sociale-in-italia,/articoli/il-boom-dell-economia-sociale-in-italia/index.html
https://www.coinsieme.it/articoli/il-coin-e-il-santa-maria-della-piet%C3%A0-di-roma,/articoli/il-coin-e-il-santa-maria-della-pieta-di-roma/index.html
https://www.coinsieme.it/articoli/il-fondatore-della-comunita-capodarco-e-i-giovani,/articoli/il-fondatore-della-comunita-capodarco-e-i-giovani/index.html
https://www.coinsieme.it/articoli/il-lavoro-per-tutti,/articoli/il-lavoro-per-tutti/index.html
https://www.coinsieme.it/articoli/il-lazio-dimezza-l-irap-per-le-cooperative-sociali-cosa-cambia-e-perch%C3%A9-%C3%A8-importante,/articoli/il-lazio-dimezza-l-irap-per-le-cooperative-sociali-cosa-cambia-e-perche-e-importante/index.html
https://www.coinsieme.it/articoli/il-potenziale-trasformativo-dell-intelligenza-artificiale-per-le-persone-disabili-e-anziane,/articoli/il-potenziale-trasformativo-dell-intelligenza-artificiale-per-le-persone-disabili-e-anziane/index.html
https://www.coinsieme.it/articoli/il-rapporto-tra-cooperative-sociali-e-pnrr-possibili-impieghi-e-ritorni-per-il-settore,/articoli/il-rapporto-tra-cooperative-sociali-e-pnrr-possibili-impieghi-e-ritorni-per-il-settore/index.html
https://www.coinsieme.it/articoli/il-ricordo-di-don-franco,/articoli/il-ricordo-di-don-franco/index.html
https://www.coinsieme.it/articoli/il-terzo-settore-cresce-le-nuove-opportunit%C3%A0-per-coinsieme-ets,/articoli/il-terzo-settore-cresce-le-nuove-opportunita-per-coinsieme-ets/index.html
https://www.coinsieme.it/articoli/indicazioni-dall-istat-sull-andamento-del-terzo-settore,/articoli/indicazioni-dall-istat-sull-andamento-del-terzo-settore/index.html
https://www.coinsieme.it/articoli/innovazione-e-domotica-assistiva-5-invenzioni-del-futuro-gi%C3%A0-tra-noi-copy,/articoli/innovazione-e-domotica-assistiva-5-invenzioni-del-futuro-gia-tra-noi-copy/index.html
https://www.coinsieme.it/articoli/innovazione-e-domotica-assistiva-5-invenzioni-del-futuro-gi%C3%A0-tra-noi,/articoli/innovazione-e-domotica-assistiva-5-invenzioni-del-futuro-gia-tra-noi/index.html
https://www.coinsieme.it/articoli/innovazione-nell-inclusione-come-le-tecnologie-stanno-trasformando-il-lavoro-per-i-disabili,/articoli/innovazione-nell-inclusione-come-le-tecnologie-stanno-trasformando-il-lavoro-per-i-disabili/index.html
https://www.coinsieme.it/articoli/inps-lancia-un-portale-di-servizio-per-i-disabili,/articoli/inps-lancia-un-portale-di-servizio-per-i-disabili/index.html
https://www.coinsieme.it/articoli/intese-in-toscana-per-la-gestione-dei-rifiuti-con-le-cooperative-sociali,/articoli/intese-in-toscana-per-la-gestione-dei-rifiuti-con-le-cooperative-sociali/index.html
https://www.coinsieme.it/articoli/l-accesso-on-line-ai-servizi-domiciliari-di-assistenza-alla-persona,/articoli/l-accesso-on-line-ai-servizi-domiciliari-di-assistenza-alla-persona/index.html
https://www.coinsieme.it/articoli/l-alluvione-in-emilia-romagna,/articoli/l-alluvione-in-emilia-romagna/index.html
